userID;productID
A00219682P7VSC0F8HLCU;B000GB1R7S
A0051720290P2FUYLQ0W3;B000UMK62U
A00859153MLXIP2YVLG0S;B000EQS1D8
A01069191W4W3PK41V3MB;B000AYW0LI
A01660142FKOE1FUIBVU6;B000IK5XTK
A0213583FZ5C5YLZVYII;B000HDJT6Q
A0301520N462Z31RLCLS;B000FVE3BQ
A03371112IP0NDM0XC0O3;B000AYW0M2
A047391122OTP4EMJ6STS;B0006AAS5Q
A048346320A5N6SY520LX;B000JQJS6M
A05590483FAOIB9CFW4A9;B0009352FG
A06330232S6LGGY5KFJDW;B000K3DTCS
A06337672HBV4IHKL6K7P;B0000C9ZD1
A06908902R3PJYHYBAT9;B000SQM5PE
A07312811YZ70HF45UQCI;B000B7MBHM
A07321171OKZ0952Y225W;B0009P66ZO
A07470053U2K2OV48NFPX;B000JQJS6M
A07826899RN2VF148VJC;B0002948KC
A07918463QKLI6R1DTHXS;B000PSQXXU
A087519335RKPOT19N5ZB;B000OUZ498
A09398482EC892KI6UA5W;B000OJU7J6
A09469841VP90WO0GJMJK;B000GAYQLI
A09653182LQOTLH87Z6HW;B0001HIT1Y
A1000TZ38O9LNS;B000H6AQ0Q
A10014631T8TLLG6QFX0V;B000K3D982
A100355G5MKBEV;B000ESUVRA
A10063PJ5C9WQQ;B0000TII8M
A1006T3B0ZRG8C;B000OUZ4VQ
A1006VQPLKR7MX;B000H28H6U
A100DZOGKXD8J5;B0009P66TK
A100E1UHI8C5H3;B0002UD438
A100ED5J8HBCMS;B000JCN3T4
A100FOCUI19OBS;B000GB1RE6
A100HIQ1HUKJUI;B00095MKRW
A100L8EOVLJ156;B000BDG7FS
A100LZI91SOEU3;B000B5OD4I
A100M7AFILKA3C;B0002UD43S
A100Q352397DAN;B000BDDF4Y
A100Q352397DAN;B000FINOPU
A100Q352397DAN;B000HDJT6Q
A100Q352397DAN;B000OJU7JQ
A100QOHHPA9O7A;B0009P66R2
A100U4YIZTKJ56;B000GAWSDG
A100UI1EDZB5UQ;B000JQJS6M
A100V6KT19CV0U;B000HDMTTU
A100Z34G1Q2AVR;B000GB1RC8
A1010BVK6IOSG4;B000AYSH2E
A1013QWPRURXVR;B0006IHHMU
A10170L2S5BFA4;B0009K4DY0
A101BXG0JX6DLF;B000AR96JY
A101CVQSKZ3GE7;B000H7K54W
A101F3VFMV4R8H;B00062N43M
A101FFLZMV5S1S;B000OUX1V6
A101K2ZDWS877R;B000H6AQ0Q
A101NUFJ7OKS6W;B0007P4B6M
A101NXBK4DJ454;B000GB1R8M
A101X0CPLFCVFN;B000KPWC1K
A10224U1SZLW4H;B000AR96P8
A10236DQ46K0JE;B000AR7S3A
A1026769ZO8EL281OA6E;B000B4ZXXY
A1027EV8A9PV1O;B000CBS94G
A1027SH9Y6Q01Q;B000GHZM1Y
A1028EBH58WMJN;B0007ZF7PQ
A1029CAC8JRPJX;B000EQU05K
A102GALDFC7Q0O;B0000TIIRS
A102GFB04C6HYZ;B0002M9RI2
A102J7U6SFAA4Q;B0002LYEJK
A102JQ8V9MIZFH;B0000WKYUE
A102MXSM8HL3K6;B000ETXOP0
A102P6AUPQ8NMK;B000IBRGBW
A102QSZD9FRMHU;B000AR98SS
A102SLZLSMAXRE;B00006I54J
A1033ISYT0P91F;B000P0VCDY
A1034S9PF7E4J2;B000NDKTLE
A103AQ1W1V20BT;B000FVC50M
A103C99PXXSLF1;B000K2SHB2
A103HEFMF816G5;B00080L2ZO
A103HUUYGVI69O;B000EQR6TS
A103I08AN2FAZ8;B000OUUAA6
A103J1XV97K0TI;B000FBVN7I
A103KWX1QFCG6I;B000H6AQ0Q
A103MBXNOQLK2H;B000F1S0DI
A103SZZFE6KG92;B000GB1R5K
A1041C7Y9Y92O9;B000GAYQKO
A10442YLVELOVH;B0000U0LRC
A104CIXJMVGNB9;B00093CZTC
A104EYNHEFKZMK;B000GB0FXU
A104GO5DIIV7TH;B000CDKFLY
A104GO5DIIV7TH;B000GX8T4U
A104KRFYWE8228;B0006AAS5Q
A104PKV88WVXPG;B0000U5BYU
A104R46SX5UDOV;B000JQFX1G
A104RT3TOUT6XD;B0001MLMKY
A104SG9QZ92UAH;B000BRBXOE
A104SVEGLWBO3Y;B0000UIVOW
A104SVEGLWBO3Y;B000AR7RUO
A104SVEGLWBO3Y;B000GB1RAU
A104TEVC8ORYBX;B000EQR3OQ
A104Z3S8I1EA7E;B000153MWW
A104ZZQ7MLXZOD;B0002T5V2Q
A10506HTJHZ5QO;B00093CZVA
A1052HHPZ5XMGG;B0007X9EZW
A1059272BRMQW6;B000FGABIK
A105C0B4PBY1OE;B0006AAS5Q
A105CRMZQKC0N1;B0002J71JM
A105CRMZQKC0N1;B000MUCT5M
A105DQ60B734GA;B000GB0FZI
A105GMHAX7YPP;B000ETU7M8
A105GT375Q4BDY;B000ETWADM
A105H248WJAZYV;B000GAYQU4
A105KSFU5YVHHA;B000AR7RVI
A105KSFU5YVHHA;B000EQR6KM
A105OSNNQTHG68;B0009XH6HI
A105T502A0BG04;B0000C9ZBY
A105XE9Q2XWWZ3;B0006AAS4M
A105XE9Q2XWWZ3;B000GB1R5K
A105YTQHA2VLME;B000FPX5WU
A105YYPL7GBPJ0;B000GGTWNY
A1061GVZRYGS0G;B000HDON26
A10625DLXSNPXK;B0006AAS5Q
A1063ASSVMVOUL;B000PSLP10
A10657HNTQO3T1;B000H6AQ0Q
A106B2VHP46FP3;B0009NX3F2
A106BH43RXM880;B00093CZV0
A106BNL4SSETE0;B000GB1RAA
A106C7A0JFFVZE;B000GAWS86
A106DH8VNDUCGB;B000H6758C
A106IP4M7Q6Y3K;B000GX3J3Q
A106JH08EDDCA;B0007P4BHQ
A106K71VHSFFMC;B0002UD438
A106PZ6UG7R1R9;B0000TIISW
A106V4C503GUR8;B000RNPJII
A106W0QCLZ5V6C;B000GG88HU
A106WNBI1UUYTZ;B00093540E
A106YT2MWUJG51;B0006PLE7M
A1070OT6C59GDR;B000AR7S3A
A1071N8H2TFWNQ;B000B5LW42
A1071N8H2TFWNQ;B000E8CR68
A10746UOZ572R9;B000GAYQJ0
A1079BCOTY9U8P;B0007RTC6E
A107BCKKA8ORB3;B0006IEX04
A107C3QEI93QJX;B000NIFAZ4
A107I62Y1V4KO4;B0007N53DO
A107JEWLVU11CY;B000B545CI
A107JEWLVU11CY;B000FGDE70
A107JEWLVU11CY;B000GAWSCM
A107JEWLVU11CY;B000GAYQKY
