feature,coef,abs_coef
prop_请求,1.846378337264859,1.846378337264859
prop_陈述_x_strat_Personalization,1.5092510200927052,1.5092510200927052
strat_Relevance,1.4609785831662603,1.4609785831662603
prop_请求_x_strat_Factual Authenticity,1.4035089546630288,1.4035089546630288
prop_请求_x_strat_Clarity,1.1751773470898663,1.1751773470898663
prop_陈述_x_strat_Relevance,1.05298137997702,1.05298137997702
strat_Personalization,0.9201227340830059,0.9201227340830059
strat_Clarity,0.7495643484198534,0.7495643484198534
prop_确认,0.6106450488815572,0.6106450488815572
prop_确认_x_strat_Clarity,0.5219610798781366,0.5219610798781366
prop_确认_x_strat_Factual Authenticity,0.3899088496980726,0.3899088496980726
prop_拒绝_x_strat_Clarity,0.2891821874462516,0.2891821874462516
prop_请求_x_strat_Relevance,0.27379733350540647,0.27379733350540647
prop_确认_x_strat_Relevance,0.12782274467190932,0.12782274467190932
prop_拒绝_x_strat_Relevance,0.00637712501192499,0.00637712501192499
prop_其他_x_strat_Factual Authenticity,0.0,0.0
prop_其他,0.0,0.0
prop_其他_x_strat_Relevance,0.0,0.0
prop_拒绝_x_strat_Completeness,0.0,0.0
prop_其他_x_strat_Personalization,0.0,0.0
prop_其他_x_strat_Clarity,0.0,0.0
prop_其他_x_strat_Completeness,0.0,0.0
prop_陈述_x_strat_Completeness,-0.10182065080103218,0.10182065080103218
prop_拒绝_x_strat_Personalization,-0.1273516630414875,0.1273516630414875
prop_确认_x_strat_Personalization,-0.20261014649147296,0.20261014649147296
prop_确认_x_strat_Completeness,-0.2264374788750412,0.2264374788750412
prop_请求_x_strat_Personalization,-0.2591664764767834,0.2591664764767834
prop_拒绝,-0.6217066398047386,0.6217066398047386
prop_请求_x_strat_Completeness,-0.7469388215166906,0.7469388215166906
prop_拒绝_x_strat_Factual Authenticity,-0.789914289221427,0.789914289221427
strat_Completeness,-1.075196951192764,1.075196951192764
prop_陈述_x_strat_Clarity,-1.236756265994399,1.236756265994399
prop_陈述,-1.3927758790162714,1.3927758790162714
strat_Factual Authenticity,-1.612927847150494,1.612927847150494
prop_陈述_x_strat_Factual Authenticity,-2.6164313622906277,2.6164313622906277
